id,product_desc,product_rate,product_price
0,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD,4.7,1038.06
1,"Samsung 60BU8000 - Smart TV LED 60' 4K UHD, Wifi, HDMI, USB",4.6,3099.0
2,"Smart TV Crystal 43"" 4K UHD Samsung CU7700 - Alexa built in, Samsung Gaming Hub",4.8,1996.7
3,"PHILIPS Smart TV 50"" 4K Android Ambilight 50PUG7907/78, Google Assistant, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0, 4 HDMI",4.7,2794.4
4,"Smart TV LED 55"" 4K UHD LG 55UQ801COSB.BWZ - IA LG ThinQ, Alexa built-in",4.8,2449.0
5,"Smart TV Crystal 50"" 4K UHD Samsung CU7700 - Alexa built in, Samsung Gaming Hub",4.4,2385.25
6,"Smart TV Crystal 55"" 4K UHD Samsung CU7700 - Alexa built in, Samsung Gaming Hub",4.7,2626.49
7,"2022 Smart TV LG 32"" HD 32LQ620 WiFi Bluetooth HDR ThinQAI compatível com Smart Magic Google Alexa",4.7,1118.99
8,"Smart TV 55"" 4K LG UHD ThinQ AI 55UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",4.1,2394.94
9,"AOC 43S5135/78G - Smart TV LED 43"" Full HD, Design sem bordas, Wifi, Conversor Digital, USB, HDMI",4.7,1712.58
10,Smart TV 32” Philco PTV32G7ER2CPBLH Dolby Audio Led Bivolt,4.5,990.79
11,"Smart TV LED 24' Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready",4.8,829.9
12,"Samsung Q90T - Smart TV QLED 55"", 4K, UHD, 120Hz, Alexa built in, Processador com IA, Tela sem limites",4.5,3499.0
13,"Smart TV LED 32"" HD TCL 32S615 - Android TV, Wifi, USB",4.5,1049.0
14,"Smart TV LED 50"" 4K UHD TCL 50P635 - Google TV, Wifi, HDMI",4.7,1999.9
15,"Smart TV LED Crystal UHD 55"", 4K, LH55BEAHVGGXZD, Samsung, Tizen, Wi-Fi, 3 HDMI, 1 USB, Bluetooth",4.7,2449.9
16,Smart TV Philco PTV50G7ER2CPBL 50” Dolby Audio 4K Led,4.1,1928.8
17,"Smart TV 43"" 4K LG UHD ThinQ AI 43UR7800PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",5.0,1851.55
18,"Smart TV LED 43"" Full HD Samsung LH43BETMLGGXZD, 2 HDMI, 1 USB, Wi-Fi, HDR, Sistema Operacional Tizen e Dolby Digital Plus",4.7,1619.94
19,"Smart Tv Philco Roku 32"" Led Hd - Ptv32g70rch",4.7,999.9
20,"PHILIPS Smart TV 43"" Full HD Android 43PFG6917/78, Google Assistant, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth 5.0, Dolby Atmos",4.6,2071.85
21,"Smart TV LED 32"" HD AOC 32S5135/78G - Design sem bordas, Wifi, Conversor Digital, USB, HDMI",4.7,1029.0
22,Fast Smart TV Philco PTV40G7PR2CSBLF 40” Led Douby Audio,4.4,1399.9
